,Id,degree,group
533,3139198679.0,13,1.0
534,589688598.0,13,2.0
535,19068720.0,13,0.0
536,1615298353.0,13,2.0
537,109272922.0,13,3.0
538,459218778.0,13,2.0
539,2384779140.0,13,2.0
540,2445213588.0,13,2.0
541,14192558.0,13,0.0
542,110303171.0,13,3.0
543,4233539535.0,13,2.0
544,23193568.0,13,1.0
545,2161336309.0,13,2.0
546,21389328.0,12,1.0
547,277350433.0,12,2.0
548,620750893.0,12,2.0
549,27308199.0,12,1.0
550,3166068971.0,12,3.0
551,2813688043.0,12,2.0
552,317378810.0,12,0.0
553,2281787659.0,12,2.0
554,4159699214.0,12,2.0
555,234115363.0,12,2.0
556,1001460008.0,12,3.0
557,57497901.0,12,0.0
558,2158205240.0,12,1.0
559,579836245.0,12,2.0
560,174223715.0,12,3.0
561,135389546.0,12,3.0
562,1066586490.0,12,2.0
563,33057154.0,12,0.0
564,1.0631629450505012e+18,12,1.0
565,2395605438.0,12,3.0
566,348617209.0,12,2.0
567,1273725474.0,12,2.0
568,21383744.0,12,3.0
569,901800547.0,12,2.0
570,263688828.0,12,1.0
571,107168391.0,12,3.0
572,46101140.0,12,3.0
573,775410330.0,12,3.0
574,564963994.0,12,2.0
575,769966778.0,12,3.0
576,1106025169.0,12,3.0
577,323734252.0,12,2.0
578,62010125.0,12,3.0
579,3124753187.0,12,2.0
580,2276774694.0,12,0.0
581,2685092670.0,12,1.0
582,2313739087.0,12,2.0
583,289461078.0,12,3.0
584,156005263.0,12,1.0
585,1452439544.0,12,2.0
586,86987686.0,12,0.0
587,104684456.0,12,3.0
588,1471077301.0,12,3.0
589,4288074688.0,12,3.0
590,1296128983.0,12,2.0
591,250665962.0,12,2.0
592,775410684.0,12,3.0
593,508763145.0,12,2.0
594,892728360.0,12,2.0
595,906177602.0,12,2.0
596,85226574.0,12,0.0
597,105774191.0,12,2.0
598,469169273.0,12,2.0
599,591813757.0,12,1.0
600,625489039.0,12,3.0
601,17018005.0,12,0.0
602,17599655.0,12,1.0
603,107175080.0,12,1.0
604,1488768168.0,12,2.0
605,15463610.0,12,1.0
606,37489889.0,12,1.0
607,25838832.0,12,3.0
608,1697668345.0,12,1.0
609,569662714.0,12,1.0
610,38804737.0,12,0.0
611,14372104.0,12,1.0
612,2883024144.0,12,2.0
613,23473488.0,12,2.0
614,1022621028.0,12,2.0
615,262528377.0,12,2.0
616,2255893897.0,12,3.0
617,37477788.0,12,3.0
618,2896090545.0,12,2.0
619,532684212.0,12,3.0
620,3081803211.0,12,1.0
621,1602870768.0,12,2.0
622,8.816150564372972e+17,12,1.0
623,29130296.0,12,0.0
624,364138072.0,12,2.0
625,1561089631.0,12,2.0
626,1715582580.0,12,2.0
627,1139621516.0,12,3.0
628,244033178.0,12,3.0
629,3917258414.0,12,3.0
630,492601009.0,12,2.0
631,1024949941.0,12,2.0
632,23246523.0,12,2.0
633,81725200.0,12,0.0
634,330542924.0,12,3.0
635,44171091.0,12,0.0
636,1.0272025257395404e+18,12,1.0
637,238516153.0,12,1.0
638,30414789.0,12,3.0
639,4562644942.0,12,2.0
640,172867574.0,12,1.0
641,1256273917.0,12,2.0
642,565534774.0,11,3.0
643,31268972.0,11,3.0
644,592816251.0,11,2.0
645,7.35902647102935e+17,11,3.0
646,357511304.0,11,1.0
647,602931332.0,11,2.0
648,114432150.0,11,2.0
649,78647472.0,11,0.0
650,19671234.0,11,1.0
651,582185202.0,11,2.0
652,85760252.0,11,1.0
653,277678342.0,11,1.0
654,245901589.0,11,1.0
655,48834856.0,11,0.0
656,116564271.0,11,2.0
657,611672381.0,11,2.0
658,167379295.0,11,2.0
659,15784302.0,11,3.0
660,109554031.0,11,3.0
661,19890561.0,11,2.0
662,82901380.0,11,2.0
663,3299645832.0,11,3.0
664,342114702.0,11,2.0
665,2964584867.0,11,1.0
666,374016426.0,11,2.0
667,3313985975.0,11,1.0
668,80148955.0,11,2.0
669,63951334.0,11,3.0
